test_id,node,test_category,test_description,test,result,failure_reason
1,DC1-LEAF1A,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
2,DC1-LEAF1B,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
3,DC1-LEAF2A,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
4,DC1-LEAF2B,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
5,DC1-SPINE1,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
6,DC1-SPINE2,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
7,DC1-LEAF1A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-LEAF1B_Ethernet3,PASS,
8,DC1-LEAF1A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-LEAF1B_Ethernet4,PASS,
9,DC1-LEAF1A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet1,PASS,
10,DC1-LEAF1A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet1,PASS,
11,DC1-LEAF1A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - dc1-leaf1-server1_PCI1,PASS,
12,DC1-LEAF1B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-LEAF1A_Ethernet3,PASS,
13,DC1-LEAF1B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-LEAF1A_Ethernet4,PASS,
14,DC1-LEAF1B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet2,PASS,
15,DC1-LEAF1B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet2,PASS,
16,DC1-LEAF1B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - dc1-leaf1-server1_PCI2,PASS,
17,DC1-LEAF2A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-LEAF2B_Ethernet3,PASS,
18,DC1-LEAF2A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-LEAF2B_Ethernet4,PASS,
19,DC1-LEAF2A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet3,PASS,
20,DC1-LEAF2A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet3,PASS,
21,DC1-LEAF2A,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - dc1-leaf2-server1_PCI1,PASS,
22,DC1-LEAF2B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-LEAF2A_Ethernet3,PASS,
23,DC1-LEAF2B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-LEAF2A_Ethernet4,PASS,
24,DC1-LEAF2B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-SPINE1_Ethernet4,PASS,
25,DC1-LEAF2B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-SPINE2_Ethernet4,PASS,
26,DC1-LEAF2B,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - dc1-leaf2-server1_PCI2,PASS,
27,DC1-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-LEAF1A_Ethernet1,PASS,
28,DC1-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-LEAF1B_Ethernet1,PASS,
29,DC1-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-LEAF2A_Ethernet1,PASS,
30,DC1-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-LEAF2B_Ethernet1,PASS,
31,DC1-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_DC1-LEAF1A_Ethernet2,PASS,
32,DC1-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_DC1-LEAF1B_Ethernet2,PASS,
33,DC1-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_DC1-LEAF2A_Ethernet2,PASS,
34,DC1-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_DC1-LEAF2B_Ethernet2,PASS,
35,DC1-LEAF1A,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_DC1-LEAF1B_Po3,PASS,
36,DC1-LEAF1A,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel5 - dc1-leaf1-server1_PortChannel dc1-leaf1-server1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
37,DC1-LEAF1B,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_DC1-LEAF1A_Po3,PASS,
38,DC1-LEAF1B,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel5 - dc1-leaf1-server1_PortChannel dc1-leaf1-server1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
39,DC1-LEAF2A,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_DC1-LEAF2B_Po3,PASS,
40,DC1-LEAF2A,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel5 - dc1-leaf2-server1_PortChannel dc1-leaf2-server1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
41,DC1-LEAF2B,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_DC1-LEAF2A_Po3,PASS,
42,DC1-LEAF2B,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel5 - dc1-leaf2-server1_PortChannel dc1-leaf2-server1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
43,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
44,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
45,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan11 - VRF10_VLAN11,PASS,
46,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan12 - VRF10_VLAN12,PASS,
47,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF10,PASS,
48,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan21 - VRF11_VLAN21,PASS,
49,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan22 - VRF11_VLAN22,PASS,
50,DC1-LEAF1A,Interface State,Vlan Interface & Line Protocol == "up",Vlan3010 - MLAG_PEER_L3_iBGP: vrf VRF11,PASS,
51,DC1-LEAF1B,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
52,DC1-LEAF1B,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
53,DC1-LEAF1B,Interface State,Vlan Interface & Line Protocol == "up",Vlan11 - VRF10_VLAN11,PASS,
54,DC1-LEAF1B,Interface State,Vlan Interface & Line Protocol == "up",Vlan12 - VRF10_VLAN12,PASS,
